,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,mean_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,model,param_C,l2,mean_test_loss,mean_train_loss,n_hidden_layers,rate,units_0,units_1,units_2,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_reg_lambda,param_reg_alpha
0,0.29840450286865233,0.04832103886271419,0.0,0.0,65,101157.94542598983,"{'n_estimators': 65, 'learning_rate': 101157.94542598983}",,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
1,0.1948756217956543,0.03493027897796938,0.0,0.0,45,31805336.88329517,"{'n_estimators': 45, 'learning_rate': 31805336.88329517}",,,,,,,,23.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,23.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
2,0.24134187698364257,0.0343459590065607,0.0,0.0,70,82937320.44796288,"{'n_estimators': 70, 'learning_rate': 82937320.44796288}",,,,,,,,22.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,22.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
3,0.5223757266998291,0.12864642702857926,0.0,0.0,15,14876.473740795,"{'n_estimators': 15, 'learning_rate': 14876.473740795}",,,,,,,,21.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,21.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
4,0.27729024887084963,0.042082432272081464,0.0,0.0,35,1793700.7924109309,"{'n_estimators': 35, 'learning_rate': 1793700.7924109309}",,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
5,0.16415929794311523,0.019115031208827387,0.0,0.0,40,838.9768935652859,"{'n_estimators': 40, 'learning_rate': 838.9768935652859}",,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
6,0.1456592082977295,0.01496318063055109,0.0,0.0,75,31805336.88329517,"{'n_estimators': 75, 'learning_rate': 31805336.88329517}",,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
7,0.16263947486877442,0.004067695309351881,0.0,0.0,20,1470618415.4045618,"{'n_estimators': 20, 'learning_rate': 1470618415.4045618}",,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
8,0.1805859088897705,0.006531500688194063,0.0,0.0,85,123.38148697760201,"{'n_estimators': 85, 'learning_rate': 123.38148697760201}",,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
9,0.1908818244934082,0.02597054266389089,0.0,0.0,50,47.315125896148054,"{'n_estimators': 50, 'learning_rate': 47.315125896148054}",,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,AdaBoost,,,,,,,,,,,,,,
