,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
93,1.4969419956207275,0.01729738878579895,0.04686441421508789,0.004936837218991404,184,0.017400000000000033,9,8,"{'n_estimators': 184, 'min_samples_split': 0.017400000000000033, 'min_samples_leaf': 9, 'max_depth': 8}",0.722117202268431,0.7277882797731569,0.7083333333333334,0.7518939393939394,0.7234848484848485,0.7267235206507419,0.014174553592289231,1,0.759110269758637,0.7652626597255088,0.7639545884578998,0.7578051087984863,0.760643330179754,0.7613551913840572,0.002834596261543873
174,1.8416436672210694,0.02494675750622194,0.05848016738891602,0.01232339959692046,190,0.01890000000000004,5,8,"{'n_estimators': 190, 'min_samples_split': 0.01890000000000004, 'min_samples_leaf': 5, 'max_depth': 8}",0.722117202268431,0.7296786389413988,0.7121212121212122,0.7518939393939394,0.7178030303030303,0.7267228046056025,0.013829703053431704,2,0.7671557027922385,0.763369616658779,0.7644276253547777,0.7644276253547777,0.7658467360454115,0.7650454612411969,0.001316590911796527
122,2.2813062191009523,0.05289256894482469,0.07087225914001465,0.010734984070486174,245,0.011500000000000017,5,8,"{'n_estimators': 245, 'min_samples_split': 0.011500000000000017, 'min_samples_leaf': 5, 'max_depth': 8}",0.718336483931947,0.7277882797731569,0.7083333333333334,0.7556818181818182,0.7215909090909091,0.7263461648622329,0.01596176554675214,3,0.7666824420255561,0.7761476573592049,0.772469252601703,0.7672658467360454,0.7696310312204352,0.7704392459885889,0.003508393853877553
99,1.8329434394836426,0.03546116561204832,0.05820026397705078,0.0037932033303311906,215,0.005300000000000001,10,9,"{'n_estimators': 215, 'min_samples_split': 0.005300000000000001, 'min_samples_leaf': 10, 'max_depth': 9}",0.725897920604915,0.722117202268431,0.7102272727272727,0.7537878787878788,0.7196969696969697,0.7263454488170934,0.014663991190338453,4,0.7704685281590156,0.7699952673923331,0.771996215704825,0.7682119205298014,0.7729422894985809,0.7707228442569111,0.001639889920696732
144,2.200819396972656,0.11639737318984787,0.07601981163024903,0.004653442941577281,227,0.01670000000000003,8,9,"{'n_estimators': 227, 'min_samples_split': 0.01670000000000003, 'min_samples_leaf': 8, 'max_depth': 9}",0.724007561436673,0.7334593572778828,0.7026515151515151,0.7481060606060606,0.7234848484848485,0.726341868591396,0.014826888406821835,5,0.7681022243256034,0.7714150496923805,0.7715231788079471,0.7701040681173131,0.7677388836329234,0.7697766809152334,0.0015998820052500592
207,1.9278791427612305,0.021849344896403416,0.06852140426635742,0.006426725474387208,197,0.009000000000000011,12,9,"{'n_estimators': 197, 'min_samples_split': 0.009000000000000011, 'min_samples_leaf': 12, 'max_depth': 9}",0.720226843100189,0.7277882797731569,0.7121212121212122,0.7537878787878788,0.7159090909090909,0.7259666609383055,0.014853519007070121,6,0.7643161381921438,0.7728348319924279,0.7686849574266793,0.7653736991485336,0.7696310312204352,0.7681681315960439,0.003060456917757688
197,2.3366552352905274,0.163651165574501,0.060369682312011716,0.003167286426789239,237,0.008100000000000008,8,8,"{'n_estimators': 237, 'min_samples_split': 0.008100000000000008, 'min_samples_leaf': 8, 'max_depth': 8}",0.720226843100189,0.7334593572778828,0.7102272727272727,0.7443181818181818,0.7215909090909091,0.725964512802887,0.011770640154822272,7,0.7666824420255561,0.7718883104590629,0.7691579943235572,0.7677388836329234,0.7729422894985809,0.7696819839879361,0.0023893482233462893
27,2.046522045135498,0.04838080501345475,0.06126699447631836,0.004714127038427256,207,0.01320000000000002,5,7,"{'n_estimators': 207, 'min_samples_split': 0.01320000000000002, 'min_samples_leaf': 5, 'max_depth': 7}",0.724007561436673,0.7277882797731569,0.7045454545454546,0.7537878787878788,0.7178030303030303,0.7255864409692387,0.016161476671518182,8,0.7619498343587316,0.7624230951254141,0.7630085146641438,0.7587511825922422,0.7601702932828761,0.7612605840046816,0.0015727421310234404
236,1.6609540462493897,0.02606400594494435,0.057387590408325195,0.006395223087741134,225,0.01230000000000002,8,7,"{'n_estimators': 225, 'min_samples_split': 0.01230000000000002, 'min_samples_leaf': 8, 'max_depth': 7}",0.7296786389413988,0.7334593572778828,0.7064393939393939,0.7537878787878788,0.7045454545454546,0.7255821446984018,0.018348746103448752,9,0.7610033128253668,0.7595835305253195,0.759697256385998,0.7554399243140965,0.760643330179754,0.7592734708461071,0.0019920179752589396
119,1.7333497047424316,0.10051674418649631,0.05185632705688477,0.005275856773341983,199,0.01890000000000004,8,8,"{'n_estimators': 199, 'min_samples_split': 0.01890000000000004, 'min_samples_leaf': 8, 'max_depth': 8}",0.724007561436673,0.7164461247637051,0.7102272727272727,0.75,0.7234848484848485,0.7248331614824999,0.013561295628321925,10,0.763369616658779,0.767628963558921,0.7667928098391674,0.7544938505203406,0.7620624408703879,0.7628695362895191,0.004671141590091606
