,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,units_1,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_lambda,param_reg_alpha,param_n_estimators,param_learning_rate,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,std_train_accuracy
0,0.0,0.6864686608314514,0.7383888363838196,42.0,53.0,1.8250458240509033,98.0,110.0,1.0,1.0,0.0,0.0,0.00716897239908576,707.0,707.0,2.0,0.0,56.0,95.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.7128713130950928,0.7476472854614258,40.0,47.0,1.557517409324646,104.0,112.0,1.0,1.0,0.0,0.0,0.009887476451694965,707.0,707.0,2.0,0.0,73.0,68.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.6864686608314514,0.7479958534240723,41.0,54.0,1.734468698501587,97.0,111.0,1.0,1.0,0.0,0.0,0.007281084079295397,707.0,707.0,2.0,0.0,52.0,83.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.7095709443092346,0.7457956075668335,39.0,49.0,1.7637685537338257,102.0,113.0,1.0,1.0,0.0,0.0,0.005534034688025713,707.0,707.0,2.0,0.0,82.0,95.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.6963696479797363,0.7481483817100525,37.0,55.0,1.665055274963379,96.0,115.0,1.0,1.0,0.0,0.0,0.0066626123152673244,707.0,707.0,2.0,0.0,93.0,89.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.6864686608314514,0.7417653799057007,40.0,55.0,1.8080470561981201,96.0,112.0,1.0,1.0,0.0,0.0,0.007745867129415274,707.0,707.0,2.0,0.0,55.0,98.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.7095709443092346,0.7450549006462097,47.0,41.0,1.0080608129501343,110.0,105.0,0.9773691892623901,0.9975053071975708,27.0,5.0,0.09394456446170807,702.0,680.0,2.0,0.0,88.0,94.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.6864686608314514,0.7501089572906494,42.0,53.0,1.5480740070343018,98.0,110.0,0.99929279088974,1.0,1.0,0.0,0.012689540162682533,707.0,706.0,2.0,0.0,74.0,72.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.7062706351280212,0.758343517780304,38.0,51.0,0.9832881689071655,100.0,114.0,0.9809052348136902,0.996828019618988,21.0,6.0,0.09116248786449432,701.0,686.0,2.0,0.0,86.0,94.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.6996699571609497,0.7588663697242737,39.0,52.0,1.0415222644805908,99.0,113.0,0.9794908165931702,0.9972651600837708,18.0,11.0,0.08521180599927902,696.0,689.0,2.0,0.0,80.0,98.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.6996699571609497,0.7340972423553467,41.0,50.0,1.8639556169509888,101.0,111.0,0.99929279088974,0.9999979734420776,1.0,0.0,0.009981745854020119,707.0,706.0,2.0,0.0,59.0,98.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.6864686608314514,0.728520393371582,41.0,54.0,1.2711650133132935,97.0,111.0,0.9794908165931702,0.9980774521827698,20.0,9.0,0.0722232237458229,698.0,687.0,2.0,0.0,81.0,100.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.6798679828643799,0.7478868961334229,38.0,59.0,1.0255709886550903,92.0,114.0,0.9724186658859253,0.9955056309700012,15.0,24.0,0.10769272595643997,683.0,692.0,2.0,0.0,56.0,93.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.6930692791938782,0.7552282810211182,37.0,56.0,1.0042941570281982,95.0,115.0,0.9667609333992004,0.993000864982605,17.0,30.0,0.11749695986509323,677.0,690.0,2.0,0.0,80.0,58.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.7194719314575195,0.7469501495361328,40.0,45.0,1.403918743133545,106.0,112.0,0.99858558177948,0.9999899864196777,2.0,0.0,0.01894918642938137,707.0,705.0,2.0,0.0,51.0,68.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.6963696479797363,0.7566225528717041,44.0,48.0,0.9009843468666077,103.0,108.0,0.9540311098098755,0.992770791053772,53.0,12.0,0.13372887670993805,695.0,654.0,2.0,0.0,85.0,64.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
